It
Kingsman: The Golden Circle
Mother! 
Blade Runner 2049 
Spider-Man: Homecoming
Baby Driver
American Made
Wonder Woman
American Assassin
Star Wars: The Last Jedi 
Flatliners
Transformers: The Last Knight
Jeepers Creepers III
Gotti 
Beauty and the Beast 
Cult of Chucky
Murder on the Orient Express 
Wind River 
Pirates of the Caribbean: Dead Men Tell No Tales 
Justice League
The LEGO Ninjago Movie
Thor: Ragnarok
Dunkirk
Gerald's Game 
The Beguiled
Guardians of the Galaxy Vol. 2 
The Hitman's Bodyguard 
Stronger
Leatherface
Baywatch 
Jumanji: Welcome to the Jungle 
The Big Sick 
Battle of the Sexes 
Darkest Hour 
Killing Gunther 
Home Again 
A Ghost Story
Annabelle: Creation
Jigsaw
Geostorm 
Alien: Covenant
The Shape of Water 
The Book of Henry
Pitch Perfect 3 
The Mummy
King Arthur: Legend of the Sword 
It Comes at Night 
The Snowman 
The House 
47 Meters Down
